ticker,cnt_stock,trade_time,user_id,trade_type
AAPL,681,2019-09-23,2518,buy
AAPL,681,2019-09-23,2518,sell
 MSFT,51,2019-09-23,4107,buy
 MSFT,51,2019-09-23,4107,sell
 GOOGL,126,2019-09-23,55227,buy
 GOOGL,126,2019-09-23,55227,sell
 AMZN,861,2019-09-23,67675,buy
 AMZN,861,2019-09-23,67675,sell
 NVDA,116,2019-09-23,10113,buy
 NVDA,116,2019-09-23,10113,sell
 JPM,656,2019-09-23,75443,buy
 JPM,656,2019-09-23,75443,sell
 BAC,659,2019-09-23,27997,buy
 BAC,659,2019-09-23,27997,sell
 WFC,170,2019-09-23,66755,buy
 WFC,170,2019-09-23,66755,sell
 JNJ,782,2019-09-23,13899,buy
 JNJ,782,2019-09-23,13899,sell
 UNH,129,2019-09-23,91318,buy
 UNH,129,2019-09-23,91318,sell
 MRK,146,2019-09-23,57921,buy
 MRK,146,2019-09-23,57921,sell
 PFE,463,2019-09-23,59806,buy
 PFE,463,2019-09-23,59806,sell
 PG,117,2019-09-23,58994,buy
 PG,117,2019-09-23,58994,sell
 KO,445,2019-09-23,62304,buy
 KO,445,2019-09-23,62304,sell
 PEP,476,2019-09-23,83131,buy
 PEP,476,2019-09-24,83131,sell
 XOM,269,2019-09-23,37136,buy
 XOM,269,2019-09-24,37136,sell
 CVX,274,2019-09-24,70543,buy
 CVX,274,2019-09-24,70543,sell
 GE,61,2019-09-24,24731,buy
 GE,61,2019-09-24,24731,sell
 HON,705,2019-09-24,33921,buy
 HON,705,2019-09-24,33921,sell
 LMT,463,2019-09-24,34818,buy
 LMT,463,2019-09-24,34818,sell
 META,496,2019-09-24,68993,buy
 META,496,2019-09-24,68993,sell
 VZ,23,2019-09-24,31595,buy
 VZ,23,2019-09-24,31595,sell
 T,690,2019-09-24,49174,buy
 T,690,2019-09-24,49174,sell
 DIS,322,2019-09-24,87080,buy
 DIS,322,2019-09-24,87080,sell
 AMT,503,2019-09-24,6882,buy
 AMT,503,2019-09-24,6882,sell
 PLD,808,2019-09-24,91441,buy
 PLD,808,2019-09-24,91441,sell
 TSM,362,2019-09-24,35818,buy
 TSM,362,2019-09-24,35818,sell
 SHEL,900,2019-09-24,86949,buy
 SHEL,900,2019-09-24,86949,sell
 BRK.B,812,2019-09-24,49440,buy
 BRK.B,812,2019-09-24,49440,sell
 NKE,87,2019-09-24,54062,buy
 NKE,87,2019-09-25,54062,sell
AAPL,290,2019-09-24,61999,buy
AAPL,290,2019-09-25,61999,sell
 MSFT,240,2019-09-25,31217,buy
 MSFT,240,2019-09-25,31217,sell
 GOOGL,753,2019-09-25,79523,buy
 GOOGL,753,2019-09-25,79523,sell
 AMZN,306,2019-09-25,36846,buy
 AMZN,306,2019-09-25,36846,sell
 NVDA,905,2019-09-25,43811,buy
 NVDA,905,2019-09-25,43811,sell
 JPM,304,2019-09-25,16726,buy
 JPM,304,2019-09-25,16726,sell
 BAC,850,2019-09-25,31028,buy
 BAC,850,2019-09-25,31028,sell
 WFC,609,2019-09-25,78998,buy
 WFC,609,2019-09-25,78998,sell
 JNJ,301,2019-09-25,66192,buy
 JNJ,301,2019-09-25,66192,sell
 UNH,604,2019-09-25,28646,buy
 UNH,604,2019-09-25,28646,sell
 MRK,973,2019-09-25,57416,buy
 MRK,973,2019-09-25,57416,sell
 PFE,655,2019-09-25,85563,buy
 PFE,655,2019-09-25,85563,sell
 PG,222,2019-09-25,81970,buy
 PG,222,2019-09-25,81970,sell
 KO,502,2019-09-25,81899,buy
 KO,502,2019-09-25,81899,sell
 PEP,552,2019-09-25,66927,buy
 PEP,552,2019-09-26,66927,sell
 XOM,338,2019-09-25,13579,buy
